Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Bhubaneswar, OD, India",06-01-2020,34,25,28.9,,47.7,2,0,0,29.8,149.96,,4.3,61.7,86.96,"Rain, Partially cloudy"
"Bhubaneswar, OD, India",06-02-2020,35.9,25,28.5,,48.8,7.69,0,0,31.7,178.25,,4.2,58.2,85.92,"Rain, Partially cloudy"
"Bhubaneswar, OD, India",06-03-2020,35,25,28.9,,48.9,11,0,0,16,157.54,,4.2,57.7,82.76,"Rain, Partially cloudy"
"Bhubaneswar, OD, India",06-04-2020,36,25.8,30.1,,49.9,0,0,0,29.5,154.5,,5,50.9,80.03,Partially cloudy
"Bhubaneswar, OD, India",06-05-2020,35,28,30.8,,47.6,0,0,0,29.5,175.96,,4.8,54.8,80.92,Partially cloudy
"Bhubaneswar, OD, India",06-06-2020,37,28.9,31.3,,49.9,0,0,0,32.9,193.79,,4.6,60.1,77.4,Partially cloudy
"Bhubaneswar, OD, India",06-07-2020,34,27.9,30.3,,45.3,0,0,0,20.5,157.38,,5.1,52.7,79.34,Partially cloudy
"Bhubaneswar, OD, India",06-08-2020,35,26,29.3,,47.3,3,0,0,29.5,207.08,,4.2,66.4,84.69,"Rain, Partially cloudy"
"Bhubaneswar, OD, India",06-09-2020,35.9,26,29.9,,48,11,0,0,14.8,154.5,,4.1,47.2,79.68,"Rain, Partially cloudy"
"Bhubaneswar, OD, India",06-10-2020,36.1,26,29.4,,48,7.81,0,0,81.7,91.17,,4.5,54.7,85.32,"Rain, Partially cloudy"
"Bhubaneswar, OD, India",06-11-2020,30,26.8,28.1,,40.5,6.99,0,0,14.8,181.29,,3.8,65.9,93.94,"Rain, Partially cloudy"
"Bhubaneswar, OD, India",06-12-2020,31,26,28.2,,42.4,25.43,0,0,11.2,118.88,,3.7,72.2,93.77,"Rain, Partially cloudy"
"Bhubaneswar, OD, India",06/13/2020,33.4,27,29.1,,44.8,30.35,0,0,14.8,154.38,,4,66.8,89.55,"Rain, Partially cloudy"
"Bhubaneswar, OD, India",06/14/2020,29,26.9,27.9,,39.8,7.02,0,0,14.8,166.63,,3.2,81.2,99.73,"Rain, Overcast"
"Bhubaneswar, OD, India",06/15/2020,29.9,27,28.5,,41.5,20.43,0,0,18.4,154.5,,3.7,74.9,96.96,"Rain, Partially cloudy"
"Bhubaneswar, OD, India",06/16/2020,30.8,26,28.3,,41.5,0.4,0,0,20.5,181.42,,4.1,75.4,91.75,"Rain, Overcast"
"Bhubaneswar, OD, India",06/17/2020,32.2,27,29.5,,43.9,0,0,0,35.3,190.96,,4.1,75.3,85.49,Overcast
"Bhubaneswar, OD, India",06/18/2020,32,27,28.9,,42.3,1,0,0,27.7,182.08,,4.5,80.6,87.55,"Rain, Overcast"
"Bhubaneswar, OD, India",06/19/2020,35,27,30.6,,47,0,0,0,18.4,177.38,,4.9,56.6,81.71,Partially cloudy
"Bhubaneswar, OD, India",06/20/2020,33,28,30.1,,43.9,26.3,0,0,14.8,208.09,,4.8,76.3,82.35,"Rain, Overcast"
"Bhubaneswar, OD, India",06/21/2020,30,27,28.6,,38.9,25.7,0,0,22.3,172.63,,4.4,68.6,89.01,"Rain, Partially cloudy"
"Bhubaneswar, OD, India",06/22/2020,35,27.2,30.8,,45,0,0,0,24.1,168.63,,4.9,58.8,76.82,Partially cloudy
"Bhubaneswar, OD, India",06/23/2020,35,28.8,30.8,,49.6,2,0,0,27.7,161.5,,4.2,62.9,83.47,"Rain, Partially cloudy"
"Bhubaneswar, OD, India",06/24/2020,36,28,31.7,,50.2,0,0,0,24.1,163.92,,4.8,46,79.14,Partially cloudy
"Bhubaneswar, OD, India",06/25/2020,35,28.2,31.2,,48.8,0,0,0,25.9,168.71,,4.8,43,78.65,Partially cloudy
"Bhubaneswar, OD, India",06/26/2020,36,27.8,31,,48.2,1,0,0,25.9,179.33,,4.8,54.6,78.77,"Rain, Partially cloudy"
"Bhubaneswar, OD, India",06/27/2020,36.2,27,30.4,,50.9,3,0,0,24.1,158.25,,4.7,61.6,80.51,"Rain, Partially cloudy"
"Bhubaneswar, OD, India",06/28/2020,34,25,27.7,,48,35,0,0,29.5,211.42,,4.3,83.8,91.92,"Rain, Overcast"
"Bhubaneswar, OD, India",06/29/2020,32.1,24.9,27.6,,44.3,7,0,0,18.4,203.26,,4.4,80.2,92.05,"Rain, Overcast"
"Bhubaneswar, OD, India",06/30/2020,35,26,30.3,,47.3,0,0,0,25.9,149.24,,4.8,51.1,80.79,Partially cloudy
"Bhubaneswar, OD, India",07-01-2020,36,27,31.5,,50.2,3,0,0,24.1,176.5,,5.1,47.5,79.36,"Rain, Partially cloudy"
